forpa,tailo,sampa,ipa,ipa_tone
cngh,tshngh,ts-@N?,t͡sʰ-ŋ̩ʔ,t͡sʰ-ŋ̩ʔ_{0}
co,tshoo,ts-O,t͡sʰ-ɔ,t͡sʰ-ɔ_{0}
cok,tshok,ts-Ok,t͡sʰ-ɔk,t͡sʰ-ɔk_{0}
cong,tshong,ts-ON,t͡sʰ-ɔŋ,t͡sʰ-ɔŋ_{0}
cop,tshop,ts-Op,t͡sʰ-ɔp,t͡sʰ-ɔp_{0}
cu,tshu,ts-u,t͡sʰ-u,t͡sʰ-u_{0}
cua,tshua,ts-u-a,t͡sʰ-u-a,t͡sʰ-u_{0}-a_{0}
cuah,tshuah,ts-u-a?,t͡sʰ-u-aʔ,t͡sʰ-u_{0}-aʔ_{0}
cuai,tshuai,ts-u-ai,t͡sʰ-u-ai,t͡sʰ-u_{0}-ai_{0}
cuaih,tshuaih,ts-u-ai?,t͡sʰ-u-aiʔ,t͡sʰ-u_{0}-aiʔ_{0}
cuan,tshuan,ts-u-an,t͡sʰ-u-an,t͡sʰ-u_{0}-an_{0}
cuang,tshuang,ts-u-aN,t͡sʰ-u-aŋ,t͡sʰ-u_{0}-aŋ_{0}
cuann,tshuann,ts-u~-a~,t͡sʰ-u-ã,t͡sʰ-u_{0}-ã_{0}
cuat,tshuat,ts-u-at,t͡sʰ-u-at,t͡sʰ-u_{0}-at_{0}
cue,tshue,ts-u-E,t͡sʰ-u-e,t͡sʰ-u_{0}-e_{0}
cueh,tshueh,ts-u-E?,t͡sʰ-u-eʔ,t͡sʰ-u_{0}-eʔ_{0}
cuh,tshuh,ts-u?,t͡sʰ-uʔ,t͡sʰ-uʔ_{0}
cui,tshui,ts-u-i,t͡sʰ-u-i,t͡sʰ-u_{0}-i_{0}
cuinn,tshuinn,ts-u~-i~,t͡sʰ-u-ĩ,t͡sʰ-u_{0}-ĩ_{0}
cun,tshun,ts-un,t͡sʰ-un,t͡sʰ-un_{0}
cut,tshut,ts-ut,t͡sʰ-ut,t͡sʰ-ut_{0}
da,ta,d-a,t-a,t-a_{0}
dah,tah,d-a?,t-aʔ,t-aʔ_{0}
dai,tai,d-ai,t-ai,t-ai_{0}
daih,taih,d-ai?,t-aiʔ,t-aiʔ_{0}
dainn,tainn,d-a~i~,t-ãi,t-ãi_{0}
dainnh,tainnh,d-a~i~?,t-ãiʔ,t-ãiʔ_{0}
dak,tak,d-ak,t-ak,t-ak_{0}
dam,tam,d-am,t-am,t-am_{0}
dan,tan,d-an,t-an,t-an_{0}
dang,tang,d-aN,t-aŋ,t-aŋ_{0}
dann,tann,d-a~,t-ã,t-ã_{0}
dap,tap,d-ap,t-ap,t-ap_{0}
dat,tat,d-at,t-at,t-at_{0}
dau,tau,d-au,t-au,t-au_{0}
dauh,tauh,d-au?,t-auʔ,t-auʔ_{0}
daunnh,taunnh,d-a~u~?,t-ãuʔ,t-ãuʔ_{0}
de,te,d-E,t-e,t-e_{0}
deh,teh,d-E?,t-eʔ,t-eʔ_{0}
den,tian,d-i-En,t-i-en,t-i_{0}-en_{0}
denn,tenn,d-e~,t-ẽ,t-ẽ_{0}
der,to,d-@,t-ə,t-ə_{0}
der,ter,d-@,t-ə,t-ə_{0}
derh,toh,d-@?,t-əʔ,t-əʔ_{0}
derh,terh,d-@?,t-əʔ,t-əʔ_{0}
det,tiat,d-i-Et,t-i-et,t-i_{0}-et_{0}
di,ti,d-i,t-i,t-i_{0}
dia,tia,d-i-a,t-i-a,t-i_{0}-a_{0}
diah,tiah,d-i-a?,t-i-aʔ,t-i_{0}-aʔ_{0}
diak,tiak,d-i-ak,t-i-ak,t-i_{0}-ak_{0}
diam,tiam,d-i-am,t-i-am,t-i_{0}-am_{0}
diang,tiang,d-i-aN,t-i-aŋ,t-i_{0}-aŋ_{0}
diann,tiann,d-i~-a~,t-i-ã,t-i_{0}-ã_{0}
diap,tiap,d-i-ap,t-i-ap,t-i_{0}-ap_{0}
diau,tiau,d-i-au,t-i-au,t-i_{0}-au_{0}
diauh,tiauh,d-i-au?,t-i-auʔ,t-i_{0}-auʔ_{0}
dien,tian,d-i-En,t-i-en,t-i_{0}-en_{0}
dier,tio,d-i-@,t-i-ə,t-i_{0}-ə_{0}
dierh,tioh,d-i-@?,t-i-əʔ,t-i_{0}-əʔ_{0}
diet,tiat,d-i-Et,t-i-et,t-i_{0}-et_{0}
dih,tih,d-i?,t-iʔ,t-iʔ_{0}
dii,tir,d-1,t-ɨ,t-ɨ_{0}
dik,tik,d-ik,t-ik,t-ik_{0}
dim,tim,d-im,t-im,t-im_{0}
