forpa,tailo,sampa,ipa,ipa_tone
pueh,phueh,p-u-E?,pʰ-u-eʔ,pʰ-u_{0}-eʔ_{0}
puh,phuh,p-u?,pʰ-uʔ,pʰ-uʔ_{0}
pui,phui,p-u-i,pʰ-u-i,pʰ-u_{0}-i_{0}
puinnh,phuinnh,p-u~-i~?,pʰ-u-ĩʔ,pʰ-u_{0}-ĩʔ_{0}
pun,phun,p-un,pʰ-un,pʰ-un_{0}
put,phut,p-ut,pʰ-ut,pʰ-ut_{0}
ra,ja,z-a,dz-a,dz-a_{0}
rah,jah,z-a?,dz-aʔ,dz-aʔ_{0}
rang,jang,z-aN,dz-aŋ,dz-aŋ_{0}
re,je,z-E,dz-e,dz-e_{0}
ren,jian,z-i-En,dz-i-en,dz-i_{0}-en_{0}
ret,jiat,z-i-Et,dz-i-et,dz-i_{0}-et_{0}
ri,ji,z-i,dz-i,dz-i_{0}
ria,jia,z-i-a,dz-i-a,dz-i_{0}-a_{0}
riah,jiah,z-i-a?,dz-i-aʔ,dz-i_{0}-aʔ_{0}
riak,jiak,z-i-ak,dz-i-ak,dz-i_{0}-ak_{0}
riam,jiam,z-i-am,dz-i-am,dz-i_{0}-am_{0}
riang,jiang,z-i-aN,dz-i-aŋ,dz-i_{0}-aŋ_{0}
riap,jiap,z-i-ap,dz-i-ap,dz-i_{0}-ap_{0}
riau,jiau,z-i-au,dz-i-au,dz-i_{0}-au_{0}
riaunn,jiaunn,z-i~-a~u~,dz-i-ãu,dz-i_{0}-ãu_{0}
rien,jian,z-i-En,dz-i-en,dz-i_{0}-en_{0}
rier,jio,z-i-@,dz-i-ə,dz-i_{0}-ə_{0}
rierh,jioh,z-i-@?,dz-i-əʔ,dz-i_{0}-əʔ_{0}
riet,jiat,z-i-Et,dz-i-et,dz-i_{0}-et_{0}
rih,jih,z-i?,dz-iʔ,dz-iʔ_{0}
rik,jik,z-ik,dz-ik,dz-ik_{0}
rim,jim,z-im,dz-im,dz-im_{0}
rin,jin,z-in,dz-in,dz-in_{0}
ring,jing,z-iN,dz-iŋ,dz-iŋ_{0}
rinn,jinn,z-i~,dz-ĩ,dz-ĩ_{0}
rio,jioo,z-i-O,dz-i-ɔ,dz-i_{0}-ɔ_{0}
riok,jiok,z-i-Ok,dz-i-ɔk,dz-i_{0}-ɔk_{0}
riong,jiong,z-i-ON,dz-i-ɔŋ,dz-i_{0}-ɔŋ_{0}
rionn,jionn,z-i~-o~,dz-i-ɔ̃,dz-i_{0}-ɔ̃_{0}
rip,jip,z-ip,dz-ip,dz-ip_{0}
rit,jit,z-it,dz-it,dz-it_{0}
riu,jiu,z-i-u,dz-i-u,dz-i_{0}-u_{0}
rok,jok,z-Ok,dz-ɔk,dz-ɔk_{0}
ru,ju,z-u,dz-u,dz-u_{0}
rua,jua,z-u-a,dz-u-a,dz-u_{0}-a_{0}
ruah,juah,z-u-a?,dz-u-aʔ,dz-u_{0}-aʔ_{0}
ruan,juan,z-u-an,dz-u-an,dz-u_{0}-an_{0}
rue,jue,z-u-E,dz-u-e,dz-u_{0}-e_{0}
ruh,juh,z-u?,dz-uʔ,dz-uʔ_{0}
ruh,juh,z-u?,dz-uʔ,dz-uʔ_{0}
rui,jui,z-u-i,dz-u-i,dz-u_{0}-i_{0}
run,jun,z-un,dz-un,dz-un_{0}
sa,sa,s-a,s-a,s-a_{0}
sah,sah,s-a?,s-aʔ,s-aʔ_{0}
sai,sai,s-ai,s-ai,s-ai_{0}
saih,saih,s-ai?,s-aiʔ,s-aiʔ_{0}
sainn,sainn,s-a~i~,s-ãi,s-ãi_{0}
sainnh,sainnh,s-a~i~?,s-ãiʔ,s-ãiʔ_{0}
sak,sak,s-ak,s-ak,s-ak_{0}
sam,sam,s-am,s-am,s-am_{0}
san,san,s-an,s-an,s-an_{0}
sang,sang,s-aN,s-aŋ,s-aŋ_{0}
sann,sann,s-a~,s-ã,s-ã_{0}
sannh,sannh,s-a~?,s-ãʔ,s-ãʔ_{0}
sap,sap,s-ap,s-ap,s-ap_{0}
sat,sat,s-at,s-at,s-at_{0}
sau,sau,s-au,s-au,s-au_{0}
sauh,sauh,s-au?,s-auʔ,s-auʔ_{0}
saunn,saunn,s-a~u~,s-ãu,s-ãu_{0}
saunnh,saunnh,s-a~u~?,s-ãuʔ,s-ãuʔ_{0}
se,se,s-E,s-e,s-e_{0}
seh,seh,s-E?,s-eʔ,s-eʔ_{0}
sen,sian,s-i-En,s-i-en,s-i_{0}-en_{0}
senn,senn,s-e~,s-ẽ,s-ẽ_{0}
sennh,sennh,s-e~?,s-ẽʔ,s-ẽʔ_{0}
ser,so,s-@,s-ə,s-ə_{0}
serh,soh,s-@?,s-əʔ,s-əʔ_{0}
serh,serh,s-@?,s-əʔ,s-əʔ_{0}
set,siat,s-i-Et,s-i-et,s-i_{0}-et_{0}
si,si,s-i,s-i,s-i_{0}
sia,sia,s-i-a,s-i-a,s-i_{0}-a_{0}
siah,siah,s-i-a?,s-i-aʔ,s-i_{0}-aʔ_{0}
siak,siak,s-i-ak,s-i-ak,s-i_{0}-ak_{0}
siam,siam,s-i-am,s-i-am,s-i_{0}-am_{0}
siang,siang,s-i-aN,s-i-aŋ,s-i_{0}-aŋ_{0}
siann,siann,s-i~-a~,s-i-ã,s-i_{0}-ã_{0}
siannh,siannh,s-i~-a~?,s-i-ãʔ,s-i_{0}-ãʔ_{0}
siap,siap,s-i-ap,s-i-ap,s-i_{0}-ap_{0}
siau,siau,s-i-au,s-i-au,s-i_{0}-au_{0}
sien,sian,s-i-En,s-i-en,s-i_{0}-en_{0}
sier,sio,s-i-@,s-i-ə,s-i_{0}-ə_{0}
sierh,sioh,s-i-@?,s-i-əʔ,s-i_{0}-əʔ_{0}
siet,siat,s-i-Et,s-i-et,s-i_{0}-et_{0}
sih,sih,s-i?,s-iʔ,s-iʔ_{0}
sii,sir,s-1,s-ɨ,s-ɨ_{0}
siih,sirh,s-1?,s-ɨʔ,s-ɨʔ_{0}
sik,sik,s-ik,s-ik,s-ik_{0}
sim,sim,s-im,s-im,s-im_{0}
simh,simh,s-im?,s-imʔ,s-imʔ_{0}
sin,sin,s-in,s-in,s-in_{0}
sing,sing,s-iN,s-iŋ,s-iŋ_{0}
sinn,sinn,s-i~,s-ĩ,s-ĩ_{0}
sinnh,sinnh,s-i~?,s-ĩʔ,s-ĩʔ_{0}
sio,sioo,s-i-O,s-i-ɔ,s-i_{0}-ɔ_{0}
sioh,siooh,s-i-O?,s-i-ɔʔ,s-i_{0}-ɔʔ_{0}
siok,siok,s-i-Ok,s-i-ɔk,s-i_{0}-ɔk_{0}
siong,siong,s-i-ON,s-i-ɔŋ,s-i_{0}-ɔŋ_{0}
sionn,sionn,s-i~-o~,s-i-ɔ̃,s-i_{0}-ɔ̃_{0}
sip,sip,s-ip,s-ip,s-ip_{0}
sit,sit,s-it,s-it,s-it_{0}
siu,siu,s-i-u,s-i-u,s-i_{0}-u_{0}
siuh,siuh,s-i-u?,s-i-uʔ,s-i_{0}-uʔ_{0}
siunn,siunn,s-i~-u~,s-i-ũ,s-i_{0}-ũ_{0}
siut,siut,s-i-ut,s-i-ut,s-i_{0}-ut_{0}
sng,sng,s-@N,s-ŋ̩,s-ŋ̩_{0}
sngh,sngh,s-@N?,s-ŋ̩ʔ,s-ŋ̩ʔ_{0}
so,soo,s-O,s-ɔ,s-ɔ_{0}
soh,sooh,s-O?,s-ɔʔ,s-ɔʔ_{0}
sok,sok,s-Ok,s-ɔk,s-ɔk_{0}
som,som,s-Om,s-ɔm,s-ɔm_{0}
song,song,s-ON,s-ɔŋ,s-ɔŋ_{0}
sop,sop,s-Op,s-ɔp,s-ɔp_{0}
su,su,s-u,s-u,s-u_{0}
sua,sua,s-u-a,s-u-a,s-u_{0}-a_{0}
suah,suah,s-u-a?,s-u-aʔ,s-u_{0}-aʔ_{0}
suai,suai,s-u-ai,s-u-ai,s-u_{0}-ai_{0}
suainn,suainn,s-u~-a~i~,s-u-ãi,s-u_{0}-ãi_{0}
suainnh,suainnh,s-u~-a~i~?,s-u-ãiʔ,s-u_{0}-ãiʔ_{0}
suan,suan,s-u-an,s-u-an,s-u_{0}-an_{0}
suann,suann,s-u~-a~,s-u-ã,s-u_{0}-ã_{0}
suat,suat,s-u-at,s-u-at,s-u_{0}-at_{0}
sue,sue,s-u-E,s-u-e,s-u_{0}-e_{0}
sueh,sueh,s-u-E?,s-u-eʔ,s-u_{0}-eʔ_{0}
suh,suh,s-u?,s-uʔ,s-uʔ_{0}
sui,sui,s-u-i,s-u-i,s-u_{0}-i_{0}
suinn,suinn,s-u~-i~,s-u-ĩ,s-u_{0}-ĩ_{0}
sun,sun,s-un,s-un,s-un_{0}
sut,sut,s-ut,s-ut,s-ut_{0}
ta,tha,t-a,tʰ-a,tʰ-a_{0}
tah,thah,t-a?,tʰ-aʔ,tʰ-aʔ_{0}
tai,thai,t-ai,tʰ-ai,tʰ-ai_{0}
tainn,thainn,t-a~i~,tʰ-ãi,tʰ-ãi_{0}
tak,thak,t-ak,tʰ-ak,tʰ-ak_{0}
tam,tham,t-am,tʰ-am,tʰ-am_{0}
tan,than,t-an,tʰ-an,tʰ-an_{0}
tang,thang,t-aN,tʰ-aŋ,tʰ-aŋ_{0}
tann,thann,t-a~,tʰ-ã,tʰ-ã_{0}
tap,thap,t-ap,tʰ-ap,tʰ-ap_{0}
tat,that,t-at,tʰ-at,tʰ-at_{0}
tau,thau,t-au,tʰ-au,tʰ-au_{0}
te,the,t-E,tʰ-e,tʰ-e_{0}
teh,theh,t-E?,tʰ-eʔ,tʰ-eʔ_{0}
ten,thian,t-i-En,tʰ-i-en,tʰ-i_{0}-en_{0}
tenn,thenn,t-e~,tʰ-ẽ,tʰ-ẽ_{0}
ter,tho,t-@,tʰ-ə,tʰ-ə_{0}
ter,ther,t-@,tʰ-ə,tʰ-ə_{0}
terh,thoh,t-@?,tʰ-əʔ,tʰ-əʔ_{0}
tet,thiat,t-i-Et,tʰ-i-et,tʰ-i_{0}-et_{0}
ti,thi,t-i,tʰ-i,tʰ-i_{0}
tia,thia,t-i-a,tʰ-i-a,tʰ-i_{0}-a_{0}
tiah,thiah,t-i-a?,tʰ-i-aʔ,tʰ-i_{0}-aʔ_{0}
tiam,thiam,t-i-am,tʰ-i-am,tʰ-i_{0}-am_{0}
tiang,thiang,t-i-aN,tʰ-i-aŋ,tʰ-i_{0}-aŋ_{0}
tiann,thiann,t-i~-a~,tʰ-i-ã,tʰ-i_{0}-ã_{0}
tiap,thiap,t-i-ap,tʰ-i-ap,tʰ-i_{0}-ap_{0}
tiau,thiau,t-i-au,tʰ-i-au,tʰ-i_{0}-au_{0}
tien,thian,t-i-En,tʰ-i-en,tʰ-i_{0}-en_{0}
tier,thio,t-i-@,tʰ-i-ə,tʰ-i_{0}-ə_{0}
tiet,thiat,t-i-Et,tʰ-i-et,tʰ-i_{0}-et_{0}
tih,thih,t-i?,tʰ-iʔ,tʰ-iʔ_{0}
tik,thik,t-ik,tʰ-ik,tʰ-ik_{0}
tim,thim,t-im,tʰ-im,tʰ-im_{0}
tin,thin,t-in,tʰ-in,tʰ-in_{0}
ting,thing,t-iN,tʰ-iŋ,tʰ-iŋ_{0}
tinn,thinn,t-i~,tʰ-ĩ,tʰ-ĩ_{0}
tiok,thiok,t-i-Ok,tʰ-i-ɔk,tʰ-i_{0}-ɔk_{0}
tiong,thiong,t-i-ON,tʰ-i-ɔŋ,tʰ-i_{0}-ɔŋ_{0}
tit,thit,t-it,tʰ-it,tʰ-it_{0}
tiu,thiu,t-i-u,tʰ-i-u,tʰ-i_{0}-u_{0}
tiunn,thiunn,t-i~-u~,tʰ-i-ũ,tʰ-i_{0}-ũ_{0}
tng,thng,t-@N,tʰ-ŋ̩,tʰ-ŋ̩_{0}
to,thoo,t-O,tʰ-ɔ,tʰ-ɔ_{0}
tok,thok,t-Ok,tʰ-ɔk,tʰ-ɔk_{0}
tom,thom,t-Om,tʰ-ɔm,tʰ-ɔm_{0}
tong,thong,t-ON,tʰ-ɔŋ,tʰ-ɔŋ_{0}
top,thop,t-Op,tʰ-ɔp,tʰ-ɔp_{0}
tu,thu,t-u,tʰ-u,tʰ-u_{0}
tua,thua,t-u-a,tʰ-u-a,tʰ-u_{0}-a_{0}
tuah,thuah,t-u-a?,tʰ-u-aʔ,tʰ-u_{0}-aʔ_{0}
tuan,thuan,t-u-an,tʰ-u-an,tʰ-u_{0}-an_{0}
tuann,thuann,t-u~-a~,tʰ-u-ã,tʰ-u_{0}-ã_{0}
tuat,thuat,t-u-at,tʰ-u-at,tʰ-u_{0}-at_{0}
tue,thue,t-u-E,tʰ-u-e,tʰ-u_{0}-e_{0}
tueh,thueh,t-u-E?,tʰ-u-eʔ,tʰ-u_{0}-eʔ_{0}
tuh,thuh,t-u?,tʰ-uʔ,tʰ-uʔ_{0}
tui,thui,t-u-i,tʰ-u-i,tʰ-u_{0}-i_{0}
tuinn,thuinn,t-u~-i~,tʰ-u-ĩ,tʰ-u_{0}-ĩ_{0}
tun,thun,t-un,tʰ-un,tʰ-un_{0}
tut,thut,t-ut,tʰ-ut,tʰ-ut_{0}
u,u,u,u,u_{0}
ua,ua,u-a,u-a,u_{0}-a_{0}
uah,uah,u-a?,u-aʔ,u_{0}-aʔ_{0}
uai,uai,u-ai,u-ai,u_{0}-ai_{0}
uaih,uaih,u-ai?,u-aiʔ,u_{0}-aiʔ_{0}
uainn,uainn,u~-a~i~,u-ãi,u_{0}-ãi_{0}
uainnh,uainnh,u~-a~i~?,u-ãiʔ,u_{0}-ãiʔ_{0}
uak,uak,u-ak,u-ak,u_{0}-ak_{0}
uan,uan,u-an,u-an,u_{0}-an_{0}
uang,uang,u-aN,u-aŋ,u_{0}-aŋ_{0}
uann,uann,u~-a~,u-ã,u_{0}-ã_{0}
uat,uat,u-at,u-at,u_{0}-at_{0}
ue,ue,u-E,u-e,u_{0}-e_{0}
ueh,ueh,u-E?,u-eʔ,u_{0}-eʔ_{0}
uenn,uenn,u~-e~,u-ẽ,u_{0}-ẽ_{0}
uh,uh,u?,uʔ,uʔ_{0}
ui,ui,u-i,u-i,u_{0}-i_{0}
uih,uih,u-i?,u-iʔ,u_{0}-iʔ_{0}
uinn,uinn,u~-i~,u-ĩ,u_{0}-ĩ_{0}
un,un,un,un,un_{0}
ut,ut,ut,ut,ut_{0}
za,tsa,dz-a,t͡s-a,t͡s-a_{0}
zah,tsah,dz-a?,t͡s-aʔ,t͡s-aʔ_{0}
zai,tsai,dz-ai,t͡s-ai,t͡s-ai_{0}
zainn,tsainn,dz-a~i~,t͡s-ãi,t͡s-ãi_{0}
zak,tsak,dz-ak,t͡s-ak,t͡s-ak_{0}
zam,tsam,dz-am,t͡s-am,t͡s-am_{0}
zan,tsan,dz-an,t͡s-an,t͡s-an_{0}
zang,tsang,dz-aN,t͡s-aŋ,t͡s-aŋ_{0}
zann,tsann,dz-a~,t͡s-ã,t͡s-ã_{0}
zap,tsap,dz-ap,t͡s-ap,t͡s-ap_{0}
zat,tsat,dz-at,t͡s-at,t͡s-at_{0}
zau,tsau,dz-au,t͡s-au,t͡s-au_{0}
zauh,tsauh,dz-au?,t͡s-auʔ,t͡s-auʔ_{0}
ze,tse,dz-E,t͡s-e,t͡s-e_{0}
zeh,tseh,dz-E?,t͡s-eʔ,t͡s-eʔ_{0}
zen,tsian,dz-i-En,t͡s-i-en,t͡s-i_{0}-en_{0}
zenn,tsenn,dz-e~,t͡s-ẽ,t͡s-ẽ_{0}
zer,tso,dz-@,t͡s-ə,t͡s-ə_{0}
zer,tser,dz-@,t͡s-ə,t͡s-ə_{0}
zerh,tsoh,dz-@?,t͡s-əʔ,t͡s-əʔ_{0}
zerh,tserh,dz-@?,t͡s-əʔ,t͡s-əʔ_{0}
zet,tsiat,dz-i-Et,t͡s-i-et,t͡s-i_{0}-et_{0}
zi,tsi,dz-i,t͡s-i,t͡s-i_{0}
zia,tsia,dz-i-a,t͡s-i-a,t͡s-i_{0}-a_{0}
ziah,tsiah,dz-i-a?,t͡s-i-aʔ,t͡s-i_{0}-aʔ_{0}
ziak,tsiak,dz-i-ak,t͡s-i-ak,t͡s-i_{0}-ak_{0}
ziam,tsiam,dz-i-am,t͡s-i-am,t͡s-i_{0}-am_{0}
ziang,tsiang,dz-i-aN,t͡s-i-aŋ,t͡s-i_{0}-aŋ_{0}
ziann,tsiann,dz-i~-a~,t͡s-i-ã,t͡s-i_{0}-ã_{0}
ziap,tsiap,dz-i-ap,t͡s-i-ap,t͡s-i_{0}-ap_{0}
ziau,tsiau,dz-i-au,t͡s-i-au,t͡s-i_{0}-au_{0}
ziauh,tsiauh,dz-i-au?,t͡s-i-auʔ,t͡s-i_{0}-auʔ_{0}
zien,tsian,dz-i-En,t͡s-i-en,t͡s-i_{0}-en_{0}
zier,tsio,dz-i-@,t͡s-i-ə,t͡s-i_{0}-ə_{0}
zierh,tsioh,dz-i-@?,t͡s-i-əʔ,t͡s-i_{0}-əʔ_{0}
ziet,tsiat,dz-i-Et,t͡s-i-et,t͡s-i_{0}-et_{0}
zih,tsih,dz-i?,t͡s-iʔ,t͡s-iʔ_{0}
zii,tsir,dz-1,t͡s-ɨ,t͡s-ɨ_{0}
zik,tsik,dz-ik,t͡s-ik,t͡s-ik_{0}
zim,tsim,dz-im,t͡s-im,t͡s-im_{0}
zin,tsin,dz-in,t͡s-in,t͡s-in_{0}
zing,tsing,dz-iN,t͡s-iŋ,t͡s-iŋ_{0}
zinn,tsinn,dz-i~,t͡s-ĩ,t͡s-ĩ_{0}
zio,tsioo,dz-i-O,t͡s-i-ɔ,t͡s-i_{0}-ɔ_{0}
ziok,tsiok,dz-i-Ok,t͡s-i-ɔk,t͡s-i_{0}-ɔk_{0}
ziong,tsiong,dz-i-ON,t͡s-i-ɔŋ,t͡s-i_{0}-ɔŋ_{0}
zionn,tsionn,dz-i~-o~,t͡s-i-ɔ̃,t͡s-i_{0}-ɔ̃_{0}
zip,tsip,dz-ip,t͡s-ip,t͡s-ip_{0}
zit,tsit,dz-it,t͡s-it,t͡s-it_{0}
ziu,tsiu,dz-i-u,t͡s-i-u,t͡s-i_{0}-u_{0}
ziuh,tsiuh,dz-i-u?,t͡s-i-uʔ,t͡s-i_{0}-uʔ_{0}
ziunn,tsiunn,dz-i~-u~,t͡s-i-ũ,t͡s-i_{0}-ũ_{0}
zng,tsng,dz-@N,t͡s-ŋ̩,t͡s-ŋ̩_{0}
zngh,tsngh,dz-@N?,t͡s-ŋ̩ʔ,t͡s-ŋ̩ʔ_{0}
zo,tsoo,dz-O,t͡s-ɔ,t͡s-ɔ_{0}
zok,tsok,dz-Ok,t͡s-ɔk,t͡s-ɔk_{0}
zom,tsom,dz-Om,t͡s-ɔm,t͡s-ɔm_{0}
zong,tsong,dz-ON,t͡s-ɔŋ,t͡s-ɔŋ_{0}
zu,tsu,dz-u,t͡s-u,t͡s-u_{0}
zua,tsua,dz-u-a,t͡s-u-a,t͡s-u_{0}-a_{0}
zuah,tsuah,dz-u-a?,t͡s-u-aʔ,t͡s-u_{0}-aʔ_{0}
zuai,tsuai,dz-u-ai,t͡s-u-ai,t͡s-u_{0}-ai_{0}
zuainn,tsuainn,dz-u~-a~i~,t͡s-u-ãi,t͡s-u_{0}-ãi_{0}
zuan,tsuan,dz-u-an,t͡s-u-an,t͡s-u_{0}-an_{0}
zuann,tsuann,dz-u~-a~,t͡s-u-ã,t͡s-u_{0}-ã_{0}
zuat,tsuat,dz-u-at,t͡s-u-at,t͡s-u_{0}-at_{0}
zue,tsue,dz-u-E,t͡s-u-e,t͡s-u_{0}-e_{0}
zueh,tsueh,dz-u-E?,t͡s-u-eʔ,t͡s-u_{0}-eʔ_{0}
zuh,tsuh,dz-u?,t͡s-uʔ,t͡s-uʔ_{0}
zui,tsui,dz-u-i,t͡s-u-i,t͡s-u_{0}-i_{0}
zuinn,tsuinn,dz-u~-i~,t͡s-u-ĩ,t͡s-u_{0}-ĩ_{0}
zun,tsun,dz-un,t͡s-un,t͡s-un_{0}
zut,tsut,dz-ut,t͡s-ut,t͡s-ut_{0}
